scenario,seed_in,median_tau,p25,p75
dry,Seed in I1,8.85147404491444,5.62165026137273,12.6438937931214
medium,Seed in I1,10.2946666381458,6.65001556614633,14.452867156842
seasonal,Seed in I1,10.4806645579132,6.72979465249024,14.753742012123
wet,Seed in I1,16.5698179741138,11.0267512774225,22.0533874586358
wet,Seed in I2,1.9415556990494,0.825624494593329,3.75967328177662
seasonal,Seed in I2,1.96261524027971,0.826936139256294,3.85562387173465
medium,Seed in I2,1.96374807718668,0.828105746790847,3.8649131259653
dry,Seed in I2,1.96619929621804,0.822999156688034,3.94177717789167
